Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 AM,"35 km/h","37 km/h","36 km/h","36 km/h","36 km/h","36 km/h","36 km/h"
02:00 AM,"37 km/h","39 km/h","38 km/h","37 km/h","38 km/h","38 km/h","38 km/h"
04:00 AM,"39 km/h","40 km/h","39 km/h","39 km/h","39 km/h","39 km/h","39 km/h"
06:00 AM,"36 km/h","41 km/h","37 km/h","35 km/h","35 km/h","35 km/h","35 km/h"
08:00 AM,"34 km/h","28 km/h","27 km/h","28 km/h","28 km/h","28 km/h","31 km/h"
10:00 AM,"32 km/h","25 km/h","24 km/h","24 km/h","25 km/h","25 km/h","29 km/h"
12:00 PM,"31 km/h","25 km/h","24 km/h","23 km/h","25 km/h","25 km/h","27 km/h"
02:00 PM,"29 km/h","24 km/h","23 km/h","23 km/h","24 km/h","24 km/h","23 km/h"
04:00 PM,"28 km/h","24 km/h","23 km/h","23 km/h","23 km/h","23 km/h","23 km/h"
06:00 PM,"25 km/h","21 km/h","20 km/h","20 km/h","21 km/h","20 km/h","22 km/h"
08:00 PM,"27 km/h","26 km/h","25 km/h","25 km/h","24 km/h","25 km/h","24 km/h"
10:00 PM,"30 km/h","30 km/h","29 km/h","29 km/h","31 km/h","32 km/h","30 km/h"
