Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 AM,"17 min 11 s","16 min 2 s","16 min 29 s","16 min 40 s","16 min 41 s","16 min 42 s","16 min 50 s"
02:00 AM,"16 min 13 s","15 min 30 s","15 min 54 s","15 min 27 s","15 min 19 s","16 min","15 min 58 s"
04:00 AM,"15 min 30 s","14 min 58 s","15 min 18 s","15 min 15 s","15 min 8 s","15 min 29 s","15 min 19 s"
06:00 AM,"15 min 9 s","14 min 38 s","15 min 3 s","15 min 1 s","15 min 40 s","16 min 6 s","15 min 49 s"
08:00 AM,"16 min 19 s","16 min 5 s","16 min 32 s","16 min 57 s","16 min 48 s","17 min 25 s","17 min 9 s"
10:00 AM,"18 min 42 s","19 min 41 s","24 min 25 s","24 min 35 s","24 min 9 s","24 min 34 s","22 min 30 s"
12:00 PM,"21 min 33 s","24 min 40 s","24 min 49 s","25 min 13 s","25 min 56 s","25 min 35 s","25 min 24 s"
02:00 PM,"22 min 1 s","24 min 44 s","24 min 30 s","25 min 59 s","25 min 55 s","25 min 33 s","25 min 46 s"
04:00 PM,"23 min 39 s","25 min 8 s","25 min 31 s","26 min 29 s","25 min 39 s","26 min 51 s","26 min 4 s"
06:00 PM,"23 min 58 s","28 min 59 s","28 min 5 s","29 min 51 s","30 min 49 s","29 min 39 s","27 min"
08:00 PM,"21 min 56 s","22 min 54 s","24 min 17 s","25 min 13 s","25 min 20 s","25 min 26 s","24 min 45 s"
10:00 PM,"18 min 10 s","18 min 40 s","19 min 2 s","19 min 31 s","19 min 1 s","25 min 53 s","26 min 29 s"
